时间戳记,1.您的性别是,2.您的年级是,3.您的书院是,4.您的学院是？,5. 大学本科毕业后，您的规划是？,6.您是否会因为未来没有留在香港的打算，所以减少了融入香港本地生群体的积极性？,7.  您的粤语水平多大程度上影响您融入香港本地生群体？,8.  相较于高中生活，现在的宿舍生活是否让您感到更孤单？,9. 和香港本地生做室友的经历对您融入香港本地生群体产生了怎样的影响？,10. 相较于香港本地生，您是否更愿意和内地生做室友 ？,11. 书院的宿分政策对您融入香港本地生群体有什么影响？,12.您参加宿生会活动的频率？,13. 书院活动（例如周会，共膳，语言桌等）对您融入香港本地生群体的影响？,14.宿生会活动（例如宿舍迎新，月食等）对您融入香港本地生群体的影响？,15.以下哪些因素会阻碍您参加宿生会活动？（多选）,16.您经常交往的人中，香港本地生所占比例是多少？,17.内地生群体的存在对您融入香港本地生群体有什么影响？,18.您会不会因为其它内地生不参加宿生会活动而降低自己的参与积极性？,19. 您是否认为新闻报道阻碍了内地生融入香港学生群体？,20.您认为以下哪种描述最符合您当前现状？
2018-10-27 下午07:12:52,女,大一,新亚,理学院,在香港读研,否,比较大,是,没有和本地生做室友的经历,否,有帮助,基本不参加,没有影响,有帮助,语言不通,0~10%,没有影响,不会,否,蜜月阶段：乐于接触，期待融入
2018-10-27 下午07:13:21,女,大一,新亚,工商管理学院,回内地,是,非常大,是,没有和本地生做室友的经历,是,有帮助,有时参加,有帮助,有帮助,"语言不通, 没有共同话题",0~10%,有阻碍,会,否,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午07:13:24,女,大二,逸夫,工程学院,去国外,否,比较大,否,没有和本地生做室友的经历,是,没有影响,基本不参加,有帮助,没有影响,"语言不通, 活动时间过晚, 没有共同话题, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有阻碍,会,是,适应阶段：完全融入，适应文化
2018-10-27 下午07:13:33,男,大四及以上,善衡,工程学院,在香港读研,否,比较大,是,没有和本地生做室友的经历,是,没有影响,有时参加,有帮助,帮助很大,感觉受到歧视,10%~25%,有帮助,不会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:13:38,女,大一,逸夫,工商管理学院,不清楚,否,比较大,是,负面影响,是,没有影响,从来不参加,没有影响,没有影响,"语言不通, 活动时间过晚",0~10%,帮助很大,会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:13:45,男,大一,和声,社会科学院,回内地,是,比较大,否,正面影响,否,没有影响,基本不参加,没有影响,有帮助,"语言不通, 没有共同话题",0~10%,有帮助,会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:14:15,女,大一,崇基,工商管理学院,去国外,否,非常大,是,没有和本地生做室友的经历,是,没有影响,基本不参加,有帮助,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 交往习惯不同",10%~25%,没有影响,会,是,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午07:14:27,女,大一,崇基,社会科学院,去国外,否,几乎没有,否,没有和本地生做室友的经历,是,没有影响,从来不参加,没有影响,没有影响,"活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,没有影响,会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:14:35,女,大一,崇基,理学院,去国外,是,一般,否,正面影响,是,有阻碍,基本不参加,有帮助,没有影响,"语言不通, 活动时间过晚, 没有共同话题",0~10%,没有影响,会,是,适应阶段：完全融入，适应文化
2018-10-27 下午07:17:01,男,大二,晨兴,工商管理学院,去国外,是,非常大,是,没有和本地生做室友的经历,是,没有影响,基本不参加,有帮助,有帮助,"语言不通, 没有共同话题, 交往习惯不同",0~10%,有阻碍,会,是,适应阶段：完全融入，适应文化
2018-10-27 下午07:17:12,女,大二,逸夫,社会科学院,去国外,否,比较大,否,没有和本地生做室友的经历,是,没有影响,从来不参加,没有影响,没有影响,"语言不通, 没有共同话题, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:17:35,女,大一,崇基,理学院,去国外,否,比较大,否,没有和本地生做室友的经历,是,有帮助,有时参加,有帮助,有帮助,"语言不通, 活动时间过晚, 影响学习, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",10%~25%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:18:28,男,大一,伍宜孙,工商管理学院,去国外,是,比较大,否,正面影响,是,有帮助,有时参加,有帮助,有帮助,语言不通,10%~25%,没有影响,不会,否,蜜月阶段：乐于接触，期待融入
2018-10-27 下午07:18:28,男,大三,善衡,社会科学院,不清楚,是,非常大,否,正面影响,否,没有影响,有时参加,有帮助,没有影响,"语言不通, 活动时间过晚, 影响学习",10%~25%,没有影响,会,否,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午07:19:00,男,大一,伍宜孙,理学院,去国外,否,比较大,否,没有和本地生做室友的经历,是,没有影响,基本不参加,有帮助,有帮助,"语言不通, 没有共同话题, 影响学习, 交往习惯不同",0~10%,没有影响,会,是,蜜月阶段：乐于接触，期待融入
2018-10-27 下午07:20:47,男,大三,新亚,理学院,去国外,否,比较大,否,负面影响,是,没有影响,有时参加,有帮助,有帮助,"语言不通, 活动时间过晚, 没有共同话题, 交往习惯不同",0~10%,有阻碍,不会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:21:05,男,大二,联合,理学院,去国外,是,比较大,否,没有和本地生做室友的经历,是,没有影响,基本不参加,没有影响,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 感觉受到歧视, 没有共同话题, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,没有影响,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:21:33,女,大一,联合,理学院,去国外,否,比较大,否,没有和本地生做室友的经历,否,有阻碍,经常参加,没有影响,有帮助,"语言不通, 活动时间过晚",25%~50%,有帮助,不会,否,蜜月阶段：乐于接触，期待融入
2018-10-27 下午07:25:03,女,大二,崇基,文学院,去国外,否,比较大,否,没有和本地生做室友的经历,是,没有影响,有时参加,没有影响,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 影响学习, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:30:11,女,大一,崇基,工程学院,不清楚,否,非常大,是,没有和本地生做室友的经历,是,没有影响,基本不参加,有帮助,有帮助,"语言不通, 活动时间过晚, 影响学习",0~10%,没有影响,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:38:43,男,大一,善衡,工程学院,去国外,是,比较大,否,没有和本地生做室友的经历,是,没有影响,有时参加,有帮助,帮助很大,语言不通,10%~25%,没有影响,不会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:39:07,男,大二,敬文,工程学院,不清楚,是,一般,否,正面影响,是,没有影响,有时参加,没有影响,有帮助,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有帮助,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:40:20,男,大一,和声,工程学院,不清楚,否,非常大,否,没有和本地生做室友的经历,否,没有影响,基本不参加,有帮助,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 交往习惯不同",10%~25%,有帮助,会,否,蜜月阶段：乐于接触，期待融入
2018-10-27 下午07:40:43,女,大一,崇基,工商管理学院,不清楚,是,非常大,是,没有和本地生做室友的经历,是,有帮助,基本不参加,有帮助,有帮助,"语言不通, 活动时间过晚, 影响学习, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有阻碍,会,是,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午07:42:46,男,大一,和声,理学院,回内地,否,比较大,是,正面影响,是,有帮助,有时参加,没有影响,帮助很大,"语言不通, 没有共同话题",0~10%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:44:29,男,大一,晨兴,理学院,在香港读研,否,一般,否,正面影响,否,没有影响,有时参加,有帮助,有帮助,活动时间过晚,0~10%,有帮助,不会,否,适应阶段：完全融入，适应文化
2018-10-27 下午07:51:50,女,大一,崇基,文学院,去国外,是,非常大,否,正面影响,是,阻碍很大,基本不参加,没有影响,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 感觉受到歧视",0~10%,帮助很大,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:53:15,男,大一,晨兴,,不清楚,是,非常大,是,正面影响,是,没有影响,从来不参加,没有影响,有帮助,"语言不通, 感觉受到歧视, 没有共同话题, 影响学习, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,帮助很大,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:55:05,女,大二,逸夫,工程学院,去国外,否,一般,否,没有和本地生做室友的经历,是,没有影响,从来不参加,没有影响,没有影响,"活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,没有影响,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:55:48,男,大一,和声,工商管理学院,在香港工作,否,比较大,是,正面影响,否,没有影响,从来不参加,有阻碍,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 交往习惯不同",10%~25%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:56:48,男,大二,和声,工程学院,不清楚,是,非常大,是,负面影响,是,没有影响,从来不参加,没有影响,没有影响,"语言不通, 活动时间过晚, 感觉受到歧视, 没有共同话题, 影响学习",0~10%,阻碍很大,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:57:23,男,大一,善衡,社会科学院,去国外,否,非常大,是,没有和本地生做室友的经历,否,没有影响,有时参加,帮助很大,帮助很大,"活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",25%~50%,有阻碍,不会,是,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午07:57:32,女,大一,新亚,工程学院,去国外,是,非常大,否,正面影响,是,有帮助,有时参加,有帮助,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 影响学习",10%~25%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:57:37,男,大四及以上,新亚,工程学院,去国外,是,比较大,否,没有和本地生做室友的经历,是,有阻碍,从来不参加,有帮助,有帮助,"语言不通, 游戏方式不了解, 活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,没有影响,会,否,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:57:41,女,大二,崇基,理学院,去国外,否,一般,否,没有和本地生做室友的经历,是,没有影响,有时参加,没有影响,有帮助,"语言不通, 活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",10%~25%,没有影响,不会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:58:01,女,大二,崇基,社会科学院,在香港读研,否,非常大,否,负面影响,是,有帮助,基本不参加,没有影响,没有影响,语言不通,0~10%,没有影响,会,是,蜜月阶段：乐于接触，期待融入
2018-10-27 下午07:58:23,女,大二,伍宜孙,工商管理学院,回内地,是,非常大,是,没有和本地生做室友的经历,是,没有影响,基本不参加,没有影响,没有影响,"语言不通, 交往习惯不同",0~10%,没有影响,不会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:59:28,女,大二,崇基,理学院,去国外,是,比较大,否,正面影响,是,没有影响,基本不参加,没有影响,没有影响,"活动时间过晚, 影响学习, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",10%~25%,没有影响,不会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午07:59:54,女,大二,联合,理学院,不清楚,是,非常大,否,正面影响,否,没有影响,基本不参加,没有影响,没有影响,"语言不通, 活动时间过晚, 没有共同话题, 影响学习, 交往习惯不同",0~10%,有阻碍,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午07:59:58,男,大二,敬文,工程学院,去国外,是,比较大,是,没有和本地生做室友的经历,否,没有影响,有时参加,没有影响,没有影响,"语言不通, 活动时间过晚, 感觉受到歧视, 没有共同话题, 影响学习, 交往习惯不同",10%~25%,有阻碍,不会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:00:23,女,大一,联合,社会科学院,回内地,否,比较大,否,正面影响,是,有帮助,基本不参加,没有影响,没有影响,"语言不通, 游戏方式不了解, 活动时间过晚, 感觉受到歧视, 没有共同话题",0~10%,帮助很大,会,否,蜜月阶段：乐于接触，期待融入
2018-10-27 下午08:01:31,女,大一,善衡,工商管理学院,不清楚,否,一般,否,没有和本地生做室友的经历,否,没有影响,经常参加,有帮助,有帮助,"活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",10%~25%,有阻碍,不会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:02:47,女,大二,崇基,社会科学院,去国外,是,比较大,是,没有和本地生做室友的经历,是,没有影响,从来不参加,没有影响,没有影响,"语言不通, 活动时间过晚, 没有共同话题, 影响学习, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,没有影响,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午08:04:20,男,大一,联合,理学院,在香港工作,否,比较大,是,没有和本地生做室友的经历,否,有帮助,基本不参加,帮助很大,没有影响,"游戏方式不了解, 活动时间过晚, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",10%~25%,没有影响,不会,否,适应阶段：完全融入，适应文化
2018-10-27 下午08:04:54,女,大一,新亚,社会科学院,回内地,是,比较大,是,没有和本地生做室友的经历,是,有阻碍,经常参加,有帮助,有帮助,"语言不通, 活动时间过晚, 没有共同话题",10%~25%,没有影响,不会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午08:05:47,女,大三,崇基,社会科学院,在香港读研,是,比较大,否,没有和本地生做室友的经历,是,有帮助,有时参加,没有影响,没有影响,"语言不通, 没有共同话题, 交往习惯不同",0~10%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:05:59,男,大二,联合,社会科学院,不清楚,是,比较大,是,正面影响,是,有帮助,基本不参加,有帮助,没有影响,"语言不通, 活动时间过晚, 感觉受到歧视, 没有共同话题, 影响学习",10%~25%,有帮助,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:06:26,男,大一,联合,工商管理学院,不清楚,否,比较大,是,正面影响,否,有帮助,经常参加,有帮助,有帮助,"语言不通, 游戏方式不了解, 活动时间过晚, 感觉受到歧视, 没有共同话题, 影响学习, 交往习惯不同",50%~100%,没有影响,不会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:11:15,女,大二,晨兴,医学院,不清楚,否,一般,否,正面影响,否,没有影响,有时参加,有帮助,有帮助,"活动时间过晚, 没有共同话题, 影响学习, 交往习惯不同",25%~50%,没有影响,会,否,适应阶段：完全融入，适应文化
2018-10-27 下午08:13:36,女,大三,联合,工商管理学院,在香港工作,否,比较大,否,正面影响,是,没有影响,有时参加,没有影响,有帮助,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有阻碍,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:14:06,女,大二,联合,社会科学院,不清楚,是,比较大,是,负面影响,否,没有影响,从来不参加,没有影响,没有影响,"语言不通, 感觉受到歧视, 没有共同话题, 交往习惯不同",10%~25%,没有影响,会,是,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午08:20:14,女,大一,崇基,工商管理学院,不清楚,否,一般,否,没有和本地生做室友的经历,否,有帮助,有时参加,有帮助,有帮助,活动时间过晚,0~10%,帮助很大,不会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午08:24:06,女,大一,新亚,社会科学院,回内地,是,非常大,否,没有和本地生做室友的经历,是,阻碍很大,基本不参加,没有影响,没有影响,语言不通,50%~100%,没有影响,不会,否,适应阶段：完全融入，适应文化
2018-10-27 下午08:24:11,女,大一,崇基,工商管理学院,不清楚,否,非常大,是,没有和本地生做室友的经历,是,有阻碍,基本不参加,没有影响,有帮助,"语言不通, 游戏方式不了解, 活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,有阻碍,会,是,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午08:24:33,女,大二,新亚,社会科学院,不清楚,否,几乎没有,否,正面影响,否,没有影响,基本不参加,没有影响,没有影响,"没有共同话题, 影响学习, 交往习惯不同",25%~50%,有阻碍,不会,否,适应阶段：完全融入，适应文化
2018-10-27 下午08:25:43,男,大一,和声,工程学院,不清楚,否,非常大,否,正面影响,是,有帮助,,,,,,,,,
2018-10-27 下午08:30:55,女,大一,和声,社会科学院,去国外,否,非常大,否,正面影响,否,没有影响,基本不参加,没有影响,没有影响,"语言不通, 活动时间过晚",0~10%,有阻碍,会,否,蜜月阶段：乐于接触，期待融入
2018-10-27 下午09:16:34,男,大一,新亚,理学院,去国外,是,一般,是,负面影响,否,没有影响,从来不参加,没有影响,有帮助,"语言不通, 游戏方式不了解, 活动时间过晚, 没有共同话题, 交往习惯不同, 宣传方式过激（逐间敲门，喇叭宣传）",25%~50%,有帮助,会,是,恢复调整：逐渐适应，积极接受
2018-10-27 下午10:55:02,女,大三,联合,工程学院,,否,一般,否,没有和本地生做室友的经历,否,没有影响,经常参加,没有影响,有帮助,"活动时间过晚, 影响学习",10%~25%,有阻碍,不会,否,恢复调整：逐渐适应，积极接受
2018-10-27 下午10:57:16,男,大二,晨兴,理学院,在香港工作,否,一般,否,正面影响,是,有帮助,有时参加,有帮助,有帮助,"语言不通, 感觉受到歧视",0~10%,有阻碍,会,是,沮丧阶段：发现差异，遇到障碍
2018-10-27 下午10:57:53,男,大三,联合,工程学院,去国外,否,比较大,否,正面影响,是,有阻碍,从来不参加,没有影响,有阻碍,"语言不通, 活动时间过晚, 宣传方式过激（逐间敲门，喇叭宣传）",0~10%,没有影响,不会,否,内卷阶段：偏安一隅，拒绝融入
2018-10-27 下午11:01:50,男,大四及以上,联合,工商管理学院,在香港读研,否,比较小,否,正面影响,否,有帮助,基本不参加,没有影响,有帮助,"语言不通, 活动时间过晚, 感觉受到歧视, 没有共同话题",10%~25%,没有影响,不会,是,适应阶段：完全融入，适应文化
2018-10-27 下午11:35:39,女,大二,联合,社会科学院,在香港读研,否,比较大,否,正面影响,是,没有影响,从来不参加,有阻碍,没有影响,"语言不通, 没有共同话题",0~10%,有阻碍,会,否,内卷阶段：偏安一隅，拒绝融入
2018-10-28 上午09:10:14,女,大二,晨兴,理学院,不清楚,否,比较大,是,没有和本地生做室友的经历,是,没有影响,基本不参加,没有影响,没有影响,"语言不通, 活动时间过晚, 没有共同话题",0~10%,有阻碍,会,是,内卷阶段：偏安一隅，拒绝融入
2018-10-28 上午09:24:25,女,大二,和声,社会科学院,在香港工作,否,一般,否,没有和本地生做室友的经历,是,有帮助,基本不参加,没有影响,没有影响,活动时间过晚,10%~25%,没有影响,不会,否,适应阶段：完全融入，适应文化